Series,Episode,Contestant,Result,Final Review,Winner,Eliminated,Technical_Rank
9,1,George,LOW,-1,,,3.0
9,2,George,HIGH,1,,,8.0
9,3,George,SAFE,,,,7.0
9,4,George,SAFE,,,,7.0
9,5,George,LOW,-1,,,6.0
9,6,George,LOW,-1,,,6.0
9,7,George,OUT,-1,,1,6.0
9,1,Amanda,LOW,-1,,,12.0
9,2,Amanda,LOW,-1,,,4.0
9,3,Amanda,SAFE,,,,3.0
9,4,Amanda,LOW,-1,,,8.0
9,5,Amanda,SAFE,,,,8.0
9,6,Amanda,OUT,-1,,1,5.0
9,1,Freya,SAFE,,,,2.0
9,2,Freya,SAFE,,,,3.0
9,3,Freya,HIGH,1,,,4.0
9,4,Freya,LOW,-1,,,6.0
9,5,Freya,OUT,-1,,1,5.0
9,1,Maggie,HIGH,1,,,1.0
9,2,Maggie,LOW,-1,,,5.0
9,3,Maggie,LOW,-1,,,8.0
9,4,Maggie,OUT,-1,,1,9.0
9,1,Rochica,SAFE,,,,7.0
9,2,Rochica,SAFE,,,,11.0
9,3,Rochica,OUT,-1,,1,10.0
9,1,Jairzeno,LOW,-1,,,9.0
9,2,Jairzeno,OUT,-1,,1,9.0
9,1,Tom,OUT,-1,,1,5.0
10,1,Syabira,HIGH,1,,,1.0
10,2,Syabira,HIGH,1,,,10.0
10,3,Syabira,HIGH,1,,,5.0
10,4,Syabira,SAFE,,,,2.0
10,5,Syabira,LOW,-1,,,8.0
10,6,Syabira,SB,1,1,,1.0
10,7,Syabira,SB,1,1,,6.0
10,8,Syabira,SB,1,1,,4.0
10,9,Syabira,HIGH,1,,,1.0
10,10,Syabira,WINNER,,1,,2.0
10,1,Abdul,SAFE,,,,6.0
10,2,Abdul,HIGH,1,,,11.0
10,3,Abdul,SAFE,,,,
10,4,Abdul,SAFE,,,,6.0
10,5,Abdul,SAFE,,,,2.0
10,6,Abdul,SAFE,,,,7.0
10,7,Abdul,SAFE,,,,4.0
10,8,Abdul,HIGH,1,,,3.0
10,9,Abdul,SB,1,1,,2.0
10,10,Abdul,RUNNER-UP,,,,1.0
10,1,Sandro,HIGH,1,,,2.0
10,2,Sandro,HIGH,1,,,3.0
